,author,year_birth,year_dead,title,year_published,num_sentences,num_tokens,num_lemmas,longest_sentence,longest_word
0,Ignát Herrmann,1854,1935,Otec Kondelík a ženich Vejvara,1898,6252,121033,9806,125,33
1,Ignát Herrmann,1854,1935,Tchán Kondelík a zeť Vejvara,1906,7036,136086,9840,166,19
0,Ignát Herrmann,1854,1935,Zamrzá!,1885,108,2173,777,72,19
1,Ignát Herrmann,1854,1935,Spiritista,1885,104,2216,712,78,13
2,Ignát Herrmann,1854,1935,Dvě těžké chvíle ze života páně Klokočova,1885,129,3740,1084,89,15
3,Ignát Herrmann,1854,1935,To se tak nebere!,1886,150,3472,1113,83,15
0,Ignát Herrmann,1854,1935,Ztracený ráj páně Tetřevův,1886,78,2547,844,128,17
1,Ignát Herrmann,1854,1935,Malíř a malíř!,1888,134,3045,961,102,15
2,Ignát Herrmann,1854,1935,Proč pan Tadeáš Bezinka chodí oholen a ostříhán,1886,189,4627,1366,124,15
0,Ignát Herrmann,1854,1935,Pan Alojs,1885,114,2513,835,95,19
1,Ignát Herrmann,1854,1935,Dobrý muž Koňura,1888,211,4761,1345,57,15
2,Ignát Herrmann,1854,1935,Kterak pan Vilibald Vonásek dobyl svobody,1887,127,2929,907,95,16
3,Ignát Herrmann,1854,1935,Poslední sázka,1887,151,3373,1060,59,15
4,Ignát Herrmann,1854,1935,Tajný společník páně Kobrčův,1889,138,3030,843,58,16
5,Ignát Herrmann,1854,1935,Smlouva pánů Škrabouta a Rysa,1887,104,2735,901,77,15
6,Ignát Herrmann,1854,1935,Náš Mikoláš,1888,200,4435,1246,108,15
7,Ignát Herrmann,1854,1935,První výdělek,1886,134,3064,987,99,13
0,Ignát Herrmann,1854,1935,Historie o doktoru Faustovi,1884,653,18695,3593,160,16
1,Ignát Herrmann,1854,1935,Hvězdáři,1887,77,2280,928,144,18
2,Ignát Herrmann,1854,1935,Příběh dušičkový,1916,2762,47935,6019,101,17
0,Karel Matěj Čapek-Chod,1860,1927,Kašpar Lén mstitel,1898,2224,57084,8507,165,20
1,Antonín Sova,1864,1928,Ivův román,1901,5055,80887,8701,85,30
0,Jaroslav Hašek,1883,1923,Švejk1,1923,3836,65951,7648,95,24
